For method OS-ADI
dt (ms)	| dx (cm)	| dy (cm)	| N-2 Error		| slope		| RMSE			| REP (%)
---------------------------------------------------------------------------------
0.002 	| 0.002 	| 0.002 	| 3.990e-01 	| ----- 	| 3.990e-01 	| 0.69
0.003 	| 0.002 	| 0.002 	| 5.975e-01 	| 0.996 	| 5.975e-01 	| 1.02
0.004 	| 0.002 	| 0.002 	| 7.891e-01 	| 0.967 	| 7.891e-01 	| 1.34
0.005 	| 0.002 	| 0.002 	| 9.870e-01 	| 1.003 	| 9.870e-01 	| 1.68
0.01 	| 0.002 	| 0.002 	| 1.973e+00 	| 0.999 	| 1.973e+00 	| 3.35
0.02 	| 0.002 	| 0.002 	| 3.943e+00 	| 0.999 	| 3.943e+00 	| 6.73
0.04 	| 0.002 	| 0.002 	| 7.582e+00 	| 0.943 	| 7.582e+00 	| 13.58
0.05 	| 0.002 	| 0.002 	| 9.161e+00 	| 0.848 	| 9.161e+00 	| 17.02
0.08 	| 0.002 	| 0.002 	| 1.001e+01 	| 0.188 	| 1.001e+01 	| 20.05
0.16 	| 0.002 	| 0.002 	| 1.738e+01 	| 0.797 	| 1.738e+01 	| 41.90
0.2 	| 0.002 	| 0.002 	| 2.020e+01 	| 0.673 	| 2.020e+01 	| 51.10
0.32 	| 0.002 	| 0.002 	| 2.529e+01 	| 0.478 	| 2.529e+01 	| 71.06
0.5 	| 0.002 	| 0.002 	| 3.187e+01 	| 0.518 	| 3.187e+01 	| 96.59
0.64 	| 0.002 	| 0.002 	| 3.635e+01 	| 0.533 	| 3.635e+01 	| 114.15
0.8 	| 0.002 	| 0.002 	| 4.101e+01 	| 0.541 	| 4.101e+01 	| 132.95

Slope of the fitted line (least squares in log-log): 0.772878

