For method SSI-ADI
dt (ms)	| dx (cm)	| dy (cm)	| N-2 Error		| slope		| RMSE			| REP (%)
---------------------------------------------------------------------------------
0.002 	| 0.002 	| 0.002 	| 2.491e-01 	| ----- 	| 2.491e-01 	| 0.53
0.003 	| 0.002 	| 0.002 	| 3.767e-01 	| 1.021 	| 3.767e-01 	| 0.80
0.004 	| 0.002 	| 0.002 	| 5.121e-01 	| 1.067 	| 5.121e-01 	| 1.09
0.005 	| 0.002 	| 0.002 	| 6.410e-01 	| 1.006 	| 6.410e-01 	| 1.37
0.01 	| 0.002 	| 0.002 	| 1.288e+00 	| 1.007 	| 1.288e+00 	| 2.76
0.02 	| 0.002 	| 0.002 	| 2.547e+00 	| 0.984 	| 2.547e+00 	| 5.57
0.04 	| 0.002 	| 0.002 	| 6.463e+00 	| 1.343 	| 6.463e+00 	| 14.03
0.05 	| 0.002 	| 0.002 	| 7.856e+00 	| 0.875 	| 7.856e+00 	| 17.69
0.08 	| 0.002 	| 0.002 	| 1.428e+01 	| 1.271 	| 1.428e+01 	| 33.52
0.16 	| 0.002 	| 0.002 	| 2.193e+01 	| 0.619 	| 2.193e+01 	| 57.62
0.2 	| 0.002 	| 0.002 	| 3.029e+01 	| 1.447 	| 3.029e+01 	| 86.59
0.32 	| 0.002 	| 0.002 	| 3.951e+01 	| 0.565 	| 3.951e+01 	| 120.95
0.5 	| 0.002 	| 0.002 	| nan 	| nan 	| nan 	| nan
0.64 	| 0.002 	| 0.002 	| nan 	| nan 	| nan 	| nan
0.8 	| 0.002 	| 0.002 	| nan 	| nan 	| nan 	| nan

Error during linear fit: SVD did not converge in Linear Least Squares

